127.0.0.1 - - [28/Apr/2023:20:52:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:24 +0530] "GET /Railway/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:24 +0530] "GET /Railway/Home/home.jsp HTTP/1.1" 200 12571
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/css/boostrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/js/icons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/js/smooth-scroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/speed-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/time-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/seat-removebg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/about_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/user2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/user1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/user3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:25 +0530] "GET /Railway/Home/imgs/st1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/login.jsp HTTP/1.1" 200 2571
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/fonts/material-icon/css/material-design-iconic-font.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/images/signin-image.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/fonts/material-icon/fonts/Material-Design-Iconic-Font.woff2?v=2.2.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/fonts/poppins/poppins-v5-latin-700.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:31 +0530] "GET /Railway/SignUp/fonts/poppins/poppins-v5-latin-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:35 +0530] "GET /Railway/SignUp/registration.jsp HTTP/1.1" 200 2818
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:35 +0530] "GET /Railway/SignUp/vendor/jquery/jquery.min.js HTTP/1.1" 404 809
0:0:0:0:0:0:0:1 - - [28/Apr/2023:20:52:35 +0530] "GET /Railway/SignUp/images/signup-image.jpg HTTP/1.1" 304 -
