127.0.0.1 - - [15/May/2023:20:35:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/home.jsp HTTP/1.1" 200 12571
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/js/icons.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/css/boostrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:51 +0530] "GET /Railway/Home/css/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/js/smooth-scroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/js/wow.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/js/wow.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/time-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/seat-removebg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/speed-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/st1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/bg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/logo-removebg-preview.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/about_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/user1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/user2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:35:52 +0530] "GET /Railway/Home/imgs/user3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/May/2023:20:36:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
